gene	driver_prob	is_driver	is_labeled
MRPS11	0.58510506	0	0
ATP2B4	0.5851048	0	0
ATP7A	0.58462596	0	0
CDH12	0.584498	0	0
BCORL1	0.58425206	1	1
PPP3CA	0.5841094	0	0
TPR	0.5838615	1	1
RIMS2	0.5837814	0	0
CAD	0.58374935	0	0
TARDBP	0.583209	0	0
NCOA1	0.58300126	1	1
RPS24	0.5826996	0	0
PSMC2	0.58249253	0	0
BMS1	0.58244467	0	0
RPS5	0.5822874	0	0
CDH2	0.5822233	0	0
ACO1	0.5820042	0	0
UBE2I	0.5817669	0	0
GTPBP4	0.58167833	0	1
ITSN1	0.5815815	0	0
PSMA4	0.58154655	0	0
SRRM2	0.5814675	0	0
HCLS1	0.5814214	0	0
MNDA	0.58136785	0	0
NDUFS2	0.58129686	0	0
SOS1	0.581016	0	0
WWP2	0.5806905	0	0
PLXNB2	0.58045894	0	0
XYLT1	0.5804459	0	0
ZNF638	0.58044523	0	0
LAMA1	0.5804225	0	0
SGIP1	0.58013374	0	0
LGALS3	0.58007306	0	0
VPS13B	0.5798918	0	0
SALL1	0.5798725	0	0
HDAC6	0.5798276	0	0
SDHC	0.5796203	1	1
EPHB6	0.5795865	0	0
ALDH2	0.57935494	0	0
HCK	0.5793146	0	0
OCA2	0.5792681	0	0
PLCB4	0.5791069	0	0
MTHFR	0.5790823	0	0
STAT1	0.57892746	0	0
FMR1	0.57892364	0	0
RASA1	0.5788562	0	0
DLD	0.57871956	0	0
CARD11	0.578539	1	1
HSPA1B	0.57842606	0	0
CAMK2A	0.57829833	0	0
SPTBN1	0.577986	0	0
ESR2	0.57780474	0	0
POU5F1	0.577778	1	1
TXNRD1	0.577769	0	0
RAB11A	0.5776255	0	0
DCN	0.5775929	0	0
PHGDH	0.57724166	0	0
SYNPO2	0.577137	0	1
UMPS	0.5770694	0	0
PABPC1	0.57693017	0	0
MUC5B	0.57691133	0	0
PPP2CA	0.5768624	0	0
PRDX1	0.5764581	0	0
RPS29	0.5763957	0	0
TUBA1B	0.5762942	0	0
RPL9	0.57587343	0	0
PRKD1	0.5758132	0	0
ITGA6	0.575709	0	0
UBE2N	0.5754315	0	0
USP14	0.5751963	0	0
FAT2	0.5751771	0	0
MTR	0.5751723	0	0
LRFN5	0.57504463	0	0
TET2	0.57495666	1	1
RPS9	0.57488394	0	0
PCNA	0.57486075	0	0
FCGBP	0.57473165	0	0
MAN2A1	0.57458895	0	0
MYSM1	0.5745778	0	0
XIAP	0.5743856	0	0
TMPO	0.57431996	0	0
ROBO4	0.5742742	0	0
ACOX1	0.57426035	0	0
NOD2	0.573788	0	0
SMARCA1	0.57356155	0	0
SNRPE	0.5734623	0	0
PTPRK	0.5734503	1	1
CUL1	0.5733768	0	0
NOTCH3	0.5733341	0	0
EPHA2	0.57313794	0	0
HLA-A	0.5730343	1	1
UBE2A	0.57291067	0	0
MYH10	0.57284534	0	0
REST	0.57271725	0	0
IFIH1	0.5726341	0	0
NCBP1	0.5725423	0	0
GPD2	0.5723662	0	0
KLF4	0.572184	1	1
LMO7	0.57214487	0	0
OBSL1	0.57212913	0	0
TFAM	0.5720759	0	0
SQSTM1	0.5720408	0	0
FGD5	0.57200587	0	0
MPO	0.57196784	0	0
FLT1	0.5718918	0	0
CHD9	0.57180214	0	0
RPS15	0.5717758	0	0
RAG1	0.5717353	0	0
COL5A1	0.57166314	0	0
CCT8	0.5714777	0	0
NDUFA12	0.57145286	0	0
AFG3L2	0.5713669	0	0
G6PD	0.57129663	0	0
VCAM1	0.5712532	0	0
KATNAL2	0.5711244	0	0
CDH23	0.5710538	0	0
POLR1C	0.57097876	0	0
NCKAP1	0.5709707	0	0
MYH6	0.570922	0	0
FH	0.5708303	1	1
XRN2	0.5705809	0	0
SLC2A4	0.5705796	0	0
TENM2	0.5704566	0	0
PRPF19	0.5703777	0	0
SF3B3	0.5702446	0	0
ATXN2	0.5700735	0	0
DISC1	0.56989	0	0
ATG7	0.56979877	0	0
FURIN	0.5696678	0	0
TBX5	0.5694853	0	0
PHB2	0.5694636	0	0
HADHB	0.5694362	0	0
EIF3B	0.5691494	0	0
CCDC8	0.56877524	0	0
PDGFRB	0.5685924	1	1
ACTL6A	0.5684072	0	0
KDM5A	0.56837875	1	1
EPCAM	0.56834495	0	0
L1TD1	0.5682541	0	0
CLPP	0.56820196	0	0
POLR2E	0.5677268	0	0
NFASC	0.567712	0	0
POMC	0.5676944	0	0
HEATR1	0.567675	0	1
LGR5	0.56762135	0	0
ABCA1	0.5675349	0	0
CCNA2	0.5675277	0	1
PTPN11	0.5675163	1	1
ABCB1	0.567158	0	0
CD93	0.5667702	0	1
MYH7	0.56672525	0	0
FBXO7	0.5667069	0	0
RAB5A	0.56670296	0	0
NID2	0.56650746	0	0
EEF1G	0.5662189	0	0
BUB1	0.5659426	0	0
YWHAB	0.56561434	0	0
SMAD2	0.5655842	1	1
SKP2	0.5655674	0	0
ARF1	0.5655623	0	0
BAG3	0.5655322	0	0
SOD1	0.5654453	0	0
RABIF	0.5653352	0	0
KDM6B	0.5649973	0	0
LARP7	0.56498605	0	0
MAT2B	0.56489086	0	1
DDX60	0.56487536	0	0
CCT5	0.56477875	0	0
BCL6	0.5645722	1	1
CALML4	0.5645277	0	0
UBE2D1	0.56400424	0	0
MMP16	0.56398404	0	0
ASTN2	0.56363666	0	0
HSCB	0.563531	0	1
RUNX2	0.5635114	0	0
MUC13	0.5631711	0	0
DSCAML1	0.5630903	0	0
MDN1	0.5629706	0	0
DDX39B	0.5629601	0	0
ATIC	0.5628458	1	1
SPARC	0.5626652	0	0
ITPR3	0.5625301	0	0
CD9	0.56244886	0	0
RC3H1	0.5622921	0	0
MRPL4	0.5622661	0	0
AHR	0.5621193	0	0
HPRT1	0.56157863	0	0
ENG	0.5614296	0	0
TOP1	0.5613863	1	1
MYCBP2	0.56135315	0	0
LEF1	0.56127316	1	1
CDH6	0.5610916	0	0
CBX5	0.5610054	0	0
PCF11	0.56090325	0	0
HECW2	0.5607518	0	0
ZMYM3	0.56074595	0	0
DNMT1	0.5607152	0	0
FGF10	0.56044424	0	0
PRNP	0.56021285	0	0
ARHGEF6	0.5601335	0	0
NXF1	0.56004745	0	0
PPIB	0.5596898	0	0
SLC12A2	0.55956256	0	0
DNMT3A	0.559326	1	1
NUPR1	0.5590662	0	0
BUB1B	0.5589962	1	1
MYO5A	0.5588862	1	1
CD109	0.55883807	0	0
HSPE1	0.55875874	0	0
BRWD3	0.55863714	0	0
PSMA3	0.5586274	0	0
PSMB1	0.558566	0	0
ACAN	0.55855244	0	0
LPL	0.55842805	0	0
PRDX6	0.5584035	0	0
ZFPM2	0.55837756	0	0
ADSL	0.5583098	0	0
